a  啊
bang-hui-qu  绑回去
bang-hui-tong  帮慧通
bang-jia  绑架
bang-li  帮理
bang-lin-xuan  帮林轩
bang-long  帮龙
bang-long-qi  帮龙气
bang-long-xiong  帮龙兄
bang-mang  帮忙
bang-meng-ru  帮梦如
bang-pai  帮派
bang-piao  绑票
bang-qiang  帮腔
bang-qin  帮亲
bang-ran  磅然
bang-ren  帮人
bang-sha-yang  帮煞阳
bang-shang 傍上 榜上  帮上
bang-shang-you-ming  榜上有名
bang-shao  帮少
bang-shao-zhu  帮少主
bang-shou 帮手  榜首
bang-suo  帮所
bang-tian-xiao-jian  帮田小剑
bang-ting-lou  帮亭楼
bang-tong-yu  帮通羽
bang-wan  傍晚
bang-wang  帮望
bang-wen  榜文
bang-wu  帮务
bang-xin-er  帮芯儿
bang-xiong  帮凶
bang-xue-hu-wang  帮雪狐王
bang-yang  榜样
bang-ying  棒影
bang-yuan-ying  帮元婴
bang-zhao  帮着
bang-zhe  帮着
bang-zhong  帮众
bang-zhu 帮主 绑住  帮助
bang-zhuo  帮着
bao 豹 宝 保 报 抱  薄
bao-bao 饱饱 薄薄 抱抱  宝宝
bao-bao-de  薄薄的
bao-bei  宝贝
bao-bei-er  宝贝儿
bao-bei-er-zi  宝贝儿子
bao-bei-nv-er  宝贝女儿
bao-ben  保本
bao-biao  保镖
bao-bing  抱病
bao-bo  薄薄
bao-bo-de  薄薄的
bao-bu-ping  抱不平
bao-bu-zhu  保不住
bao-cang 包藏  宝藏
bao-cang-huo-xin  包藏祸心
bao-chang  饱尝
bao-chao  包抄
bao-che  保车
bao-cheng 抱成 报成  爆成
bao-cheng-yi-tuan  抱成一团
bao-chi 宝尺  保持
bao-chi-chen-mo  保持沉默
bao-chi-jing-ti  保持警惕
bao-chi-lian-xi  保持联系
bao-chi-liang-hao  保持良好
bao-chi-wen-ding  保持稳定
bao-chi-yi-zhi  保持一致
bao-chi-zhong-li  保持中立
bao-chong 宝虫  保重
bao-chou 报酬  报仇
bao-chou-xue-hen  报仇雪恨
bao-chu 报出 曝出 刨除  爆出
bao-cun  保存
bao-cun-shi-li  保存实力
bao-da 报答  暴打
bao-dan  宝丹
bao-dan-lian  宝丹炼
bao-dao 报道 报到  宝刀
bao-de 抱得 薄得  保得
bao-de-zhu  保得住
bao-di 薄地 报地 保底  宝地
bao-dian 宝典  宝殿
bao-diao  爆掉
bao-die  暴跌
bao-ding 宝顶 宝鼎 抱定  保定
bao-dong  暴动
bao-dun  宝盾
bao-duo-da  抱多大
bao-en  报恩
bao-er-kai  爆而开
bao-er-wang  爆而亡
bao-fa  爆发
bao-fa-li  爆发力
bao-fan  饱饭
bao-fang  包房
bao-fang-hui  宝放回
bao-fei  报废
bao-feng  暴风
bao-feng-xue  暴风雪
bao-feng-yu  暴风雨
bao-feng-zhou-yu  暴风骤雨
bao-fo-jiao  抱佛脚
bao-fo-jue  抱佛脚
bao-fu 暴富 保扶 抱负 包袱  报复
bao-fu-jiao  抱佛脚
bao-fu-jue  抱佛脚
bao-gao  报告
bao-ge 抱个  饱嗝
bao-gen-wen-di  刨根问底
bao-guan  保管
bao-guang 曝光  宝光
bao-guang-liu  宝光流
bao-gui  宝贵
bao-gui-qi  宝鬼器
bao-gui-shi-jian  宝贵时间
bao-guo 抱裹 抱过  包裹
bao-han 包涵 饱含  包含
bao-han-zhong-sheng  抱憾终生
bao-he 爆喝 暴喝  宝盒
bao-he-sheng  暴喝声
bao-hu  保护
bao-hu-di  保护地
bao-hu-mo  保护膜
bao-huan  宝环
bao-huan-chu  宝环初
bao-huan-li  宝环里
bao-hui 抱回  报回
bao-hun  豹魂
bao-jia 宝加 宝甲 保驾  报价
bao-jia-lian  宝甲炼
bao-jian 暴减 包间 抱肩  宝剑
bao-jiang 爆降  暴降
bao-jie  包接
bao-jin  抱紧
bao-jing 饱经 报警  宝镜
bao-jing-cang-sang  饱经沧桑
bao-kai  爆开
bao-ku  宝库
bao-kuang  宝矿
bao-kuo  包括
bao-lai 包来  宝来
bao-lan  包揽
bao-lan-se  宝蓝色
bao-le 保了  包了
bao-lei  堡垒
bao-li 暴戾 暴力 爆栗  宝里
bao-li-dao  宝力道
bao-liao 保了  包了
bao-lie 暴裂 暴烈  爆裂
bao-lie-sheng 暴裂声  爆裂声
bao-lin  宝林
bao-lin-xuan  保林轩
bao-liu  保留
bao-liu-di  保留地
bao-lu  暴露
bao-lu-mu-biao  暴露目标
bao-lu-wu-yi  暴露无遗
bao-lun  宝轮
bao-luo 保罗 宝落  包罗
bao-luo-wan-xiang  包罗万象
bao-man  饱满
bao-mei  胞妹
bao-mi  保密
bao-mi-gong-zuo  保密工作
bao-mian  薄面
bao-ming 报名 爆鸣  保命
bao-mo 薄膜  宝墨
bao-nu 薄怒  暴怒
bao-nu-zhi-xia  暴怒之下
bao-nue  暴虐
bao-peng  爆棚
bao-ping-an 保平安  报平安
bao-po  爆破
bao-qi 暴气 暴起  宝气
bao-qi-fa  暴起发
bao-qi-shang  暴起伤
bao-qian  抱歉
bao-qu  宝取
bao-quan 保全  抱拳
bao-ran 暴然  爆燃
bao-ren 宝人  薄刃
bao-ru 抱入  薄如
bao-ruo  薄弱
bao-sha 薄纱  暴杀
bao-shan 宝扇  宝山
bao-shang 抱上  报上
bao-shang-lai  报上来
bao-shang-ming-lai  报上名来
bao-shang-qu  报上去
bao-she 暴射 爆射  宝蛇
bao-she-bian  宝蛇变
bao-she-bo  宝蛇勃
bao-she-chu 暴射出  爆射出
bao-she-ci  宝蛇此
bao-she-da  宝蛇大
bao-she-gong  宝蛇宫
bao-she-gui  宝蛇贵
bao-she-hui  宝蛇会
bao-she-jian 宝蛇见  宝蛇间
bao-she-kai  爆射开
bao-she-kuai  宝蛇会
bao-she-la-zhu  宝蛇拉住
bao-she-lai  宝蛇来
bao-she-lue  宝蛇略
bao-she-nu  宝蛇怒
bao-she-shang  宝蛇伤
bao-she-shou  宝蛇手
bao-she-song  宝蛇松
bao-she-wang  宝蛇望
bao-she-xia 宝蛇下  爆射下
bao-she-xian  宝蛇现
bao-she-xiu  宝蛇袖
bao-she-yao  宝蛇要
bao-she-you  宝蛇油
bao-sheng 爆升  暴升
bao-shi 宝石  宝师
bao-shou 豹首 饱受 抱守  保守
bao-shu 宝树  报数
bao-shu-lai  宝树来
bao-shu-xia  宝树下
bao-shuai  保帅
bao-suan-qi  堡算起
bao-ta 保他  宝塔
bao-tai-da  抱太大
bao-te  保特
bao-ti  爆体
bao-tian-tian-wu  暴殄天物
bao-tiao  暴跳
bao-tiao-ru-lei  暴跳如雷
bao-tong  宝通
bao-tou 爆头  抱头
bao-tou-huan-yan  豹头环眼
bao-tou-shu-cuan  抱头鼠窜
bao-tou-tong-ku  抱头痛哭
bao-tu  刨土
bao-tuan  抱团
bao-wai  堡外
bao-wei 保卫 宝为  包围
bao-wei-quan  包围圈
bao-wei-zhan  保卫战
bao-wei-zhu  包围住
bao-wen  豹纹
bao-wu 薄雾  宝物
bao-wu-yu  保无虞
bao-xia  保下
bao-xian 保鲜  保险
bao-xiang 爆降 宝相 暴降 宝箱 宝像 包厢  爆响
bao-xiao 报销  报效
bao-xin  报信
bao-xin-jiu-huo  抱薪救火
bao-xing  薄幸
bao-xing-zhi  薄幸之
bao-xue  饱学
bao-xue-zhi-shi  饱学之士
bao-ya  龅牙
bao-yan  爆炎
bao-yan-fu  饱眼福
bao-yang 保养  抱阳
bao-yi 薄义 报以  宝蛇
bao-yi-bao  报一报
bao-yi-bian  宝蛇变
bao-yi-bo  宝蛇勃
bao-yi-ci  宝蛇此
bao-yi-da  宝蛇大
bao-yi-gong  宝蛇宫
bao-yi-gui  宝蛇贵
bao-yi-hui  宝蛇会
bao-yi-jian 宝蛇见  宝蛇间
bao-yi-kuai  宝蛇会
bao-yi-la-zhu  宝蛇拉住
bao-yi-lai  宝蛇来
bao-yi-lao-quan  饱以老拳
bao-yi-lue  宝蛇略
bao-yi-nu  宝蛇怒
bao-yi-shan  宝一闪
bao-yi-shang  宝蛇伤
bao-yi-shou  宝蛇手
bao-yi-song  宝蛇松
bao-yi-wang  宝蛇望
bao-yi-xia  宝蛇下
bao-yi-xian  宝蛇现
bao-yi-xiu  宝蛇袖
bao-yi-yao  宝蛇要
bao-yi-you  宝蛇油
bao-ying  报应
bao-ying-bu-shuang  报应不爽
bao-you 保有 抱有  保佑
bao-yu 抱于  暴雨
bao-yuan 报怨 报冤  抱怨
bao-yuan-di  抱怨地
bao-yuan-sheng  抱怨声
bao-yuan-shou  抱元守
bao-za  包扎
bao-zai  包在
bao-zang 包藏  宝藏
bao-zang-huo-xin  包藏祸心
bao-zao  暴躁
bao-zeng  暴增
bao-zha 包扎  爆炸
bao-zha-sheng  爆炸声
bao-zha-xing  爆炸性
bao-zhang 爆涨 保障  暴涨
bao-zhe  宝者
bao-zhen-tian  暴珍天
bao-zheng 暴睁  保证
bao-zhi  薄纸
bao-zhi-ju  宝之举
bao-zhi-shi 宝之事  宝之时
bao-zhi-tu  薄之徒
bao-zhong  保重
bao-zhu 堡主 宝珠 抱住 包住  保住
bao-zhuang  包装
bao-zi  豹子
bao-zi-dan  豹子胆
bao-zou  暴走
bao-zu  饱足
bao-zuo 爆作 爆做  宝座
bei 背 倍 杯  被
bei-ai  悲哀
bei-an  备案
bei-ban  备办
bei-bang  被绑
bei-bao  背包
bei-bi  卑鄙
bei-bi-huan  被碧幻
bei-bi-lin-zhen  被碧鳞针
bei-bi-wu-chi  卑鄙无耻
bei-bi-yan  被碧炎
bei-bian 被贬  北边
bei-bu 背部  北部
bei-can  悲惨
bei-chen-zuo  被称作
bei-cheng  北城
bei-cheng-zuo  被称作
bei-chi  贝齿
bei-chong  被宠
bei-chu 背出  辈出
bei-chuang  悲怆
bei-cong-zhong-lai  悲从中来
bei-cuo  背错
bei-da-luan  被打乱
bei-dan  被弹
bei-dang  被荡
bei-dang-kai  被荡开
bei-dao  被盗
bei-dao-er-chi  背道而驰
bei-di  北地
bei-di-li  背地里
bei-dong  被动
bei-dong-ai-da  被动挨打
bei-dou  北斗
bei-dou-qi-xing  北斗七星
bei-duan  北端
bei-dui  背对
bei-dui-zhao  背对着
bei-dui-zhe  背对着
bei-dui-zhuo  背对着
bei-er  倍儿
bei-fang  北方
bei-fen 备份 辈分  悲愤
bei-feng  北风
bei-fu 卑傅 背负  被俘
bei-fu-zhao  背负着
bei-fu-zhe  背负着
bei-fu-zhuo  背负着
bei-gan  倍感
bei-ge  被格
bei-gong-qu-xi  卑躬屈膝
bei-guan 被贯 被关  悲观
bei-guan-zhe  悲观者
bei-hai  北海
bei-hao  被耗
bei-hei-guo  背黑锅
bei-hou  背后
bei-hou-ren  背厚刃
bei-hu  悲呼
bei-hu-lue-le  被忽略了
bei-hu-lue-liao  被忽略了
bei-hu-shi  被忽视
bei-hua 被划  被化
bei-huan  杯换
bei-huan-li-he  悲欢离合
bei-hui-tong  被慧通
bei-hun  被魂
bei-ji 背脊 被击  北极
bei-ji-cheng  被击成
bei-ji-lan  被击烂
bei-ji-san  被击散
bei-jia 被加  倍加
bei-jian  卑贱
bei-jiang  北疆
bei-jiao 北郊  被叫
bei-jie  被劫
bei-jie-zou  被劫走
bei-jing  背景
bei-jing-li-xiang  背井离乡
bei-jiu  杯酒
bei-ju  悲剧
bei-ju-chong-yan  悲剧重演
bei-ju-zhong-yan  悲剧重演
bei-kao  背靠
bei-kao-bei  背靠背
bei-ke 被刻 背壳  贝壳
bei-ke-de  被克得
bei-ke-jin-pan  被克禁盘
bei-ku  悲苦
bei-kun  被困
bei-la-chu  被拉出
bei-la-ru  被拉入
bei-lan  被兰
bei-li 背立 被立 被利 背离  被力
bei-liang 北凉  悲凉
bei-lie  卑劣
bei-lin  被林
bei-lu  北路
bei-men  北门
bei-mi-guang  被靡光
bei-mian 北面  背面
bei-miao  被苗
bei-ming 悲鸣  北冥
bei-ming-jun  北冥郡
bei-ming-lao  北冥老
bei-ming-tie  北冥铁
bei-ming-xiong  北冥兄
bei-ming-zhen  北冥真
bei-mu  贝母
bei-nai-long  被鼐龙
bei-nu  悲怒
bei-pan 杯盘  背叛
bei-pan-lang-ji  杯盘狼藉
bei-pan-lang-jie  杯盘狼藉
bei-pan-zhe  背叛者
bei-po  被迫
bei-qi 备齐 背弃  悲戚
bei-qi-da  被七大
bei-qian-huan  被千幻
bei-qie 被切  悲切
bei-qing  悲情
bei-qu  北区
bei-rong  被融
bei-ru 背入  被褥
bei-shang 背上  悲伤
bei-sheng 被生  背生
bei-shi 被师  被蚀
bei-shou 备受  倍受
bei-shu  倍数
bei-shui-che-xin  杯水车薪
bei-shui-yi-zhan  背水一战
bei-tan  被弹
bei-tao  被套
bei-tian-min-ren  悲天悯人
bei-tong  悲痛
bei-tong-yu-jue  悲痛欲绝
bei-wei 被围  卑微
bei-wen  碑文
bei-wu-xi  悲无喜
bei-xi-jiao-jia  悲喜交加
bei-xi-ru  被吸入
bei-xia 卑下  背下
bei-xiang  背项
bei-xin 背心  被心
bei-xin-qi-yi  背信弃义
bei-xu  倍许
bei-xuan  背悬
bei-xuan-wei  被选为
bei-ying 被映  背影
bei-yong  备用
bei-you 备有  背有
bei-yu  背于
bei-yu-wei  被誉为
bei-yuan  被媛
bei-yue  北约
bei-yun  背运
bei-zeng  倍增
bei-zha-fei  被炸飞
bei-zhan  备战
bei-zhang  被障
bei-zhao 被罩  背着
bei-zhe  背着
bei-zhi-gan  背之感
bei-zhong 被钟  被种
bei-zhuang 被装  悲壮
bei-zhuo  背着
bei-zi 被子  杯子
bei-zou  北走
bei-zu  备足
ben 笨  本
ben-ban  奔般
ben-ban-fa  笨办法
ben-bang  本帮
ben-ben 笨笨  本本
ben-bo  奔波
ben-bu  本部
ben-bu-ying  本不应
ben-cheng  本城
ben-chi  奔驰
ben-chong  笨重
ben-da  本大
ben-dan  笨蛋
ben-dao 本岛 笨到  奔到
ben-de  笨得
ben-di  本地
ben-dian  本店
ben-dong  本洞
ben-du  本度
ben-e  笨鹅
ben-fang 奔坊  奔放
ben-fen  本分
ben-feng  本峰
ben-gai  本该
ben-gai-ru-ci  本该如此
ben-ge  本阁
ben-gong  本宫
ben-gong-hui  本宫会
ben-gong-kuai  本宫会
ben-gong-xian  本宫现
ben-gu  本谷
ben-gui-di  本鬼帝
ben-gui-mu  本鬼母
ben-hou 本候  本侯
ben-hou-hui  本侯会
ben-hou-jian  本侯见
ben-hou-kuai  本侯会
ben-hou-lai  本侯来
ben-hou-ye  本侯爷
ben-huang  本皇
ben-huang-huan  本皇换
ben-jia  本家
ben-jia-huo  笨家伙
ben-jian-zun  本剑尊
ben-jie 本界  本届
ben-jun  本郡
ben-lai  本来
ben-lai-mian-mu  本来面目
ben-lei  奔雷
ben-ling  本领
ben-liu  奔流
ben-long  奔龙
ben-lou  本楼
ben-mai  本脉
ben-men  本门
ben-men-chong  本门重
ben-men-chu  本门出
ben-men-fang  本门放
ben-men-fen  本门分
ben-men-hu  本门护
ben-men-hui  本门会
ben-men-jin  本门近
ben-men-jue  本门绝
ben-men-kuai  本门会
ben-men-lai  本门来
ben-men-li  本门里
ben-men-mie  本门灭
ben-men-ruo  本门弱
ben-men-shi  本门实
ben-men-shu  本门数
ben-men-xian  本门现
ben-men-yu  本门于
ben-men-zhong 本门重  本门钟
ben-men-zhu 本门筑  本门主
ben-meng  本盟
ben-ming 本名  本命
ben-mo  本魔
ben-mo-dao-zhi  本末倒置
ben-mo-jun  本魔君
ben-mo-zu  本魔祖
ben-mo-zun  本魔尊
ben-neng  本能
ben-niao-xian-fei  笨鸟先飞
ben-pai  本派
ben-pai-zhu  本派筑
ben-pao  奔跑
ben-qi 本期  贲起
ben-qian  本钱
ben-ren  本人
ben-ru  本入
ben-se  本色
ben-shang  本上
ben-shao  本少
ben-shao-ye  本少爷
ben-shao-zhu  本少主
ben-shen 本神  本身
ben-shen-jun  本神君
ben-sheng  本圣
ben-sheng-zu  本圣祖
ben-sheng-zu-hui  本圣祖会
ben-sheng-zu-kuai  本圣祖会
ben-shi 本尸 本是  本事
ben-shu  本书
ben-si  本寺
ben-tao  奔逃
ben-teng  奔腾
ben-ti  本体
ben-tu  本土
ben-wang  本王
ben-wang-hui  本王会
ben-wang-kuai  本王会
ben-wang-lai  本王来
ben-wei 本未  本为
ben-wen  本文
ben-wu-shi  本无事
ben-xian  本仙
ben-xian-jun  本仙君
ben-xiang  本想
ben-xin  本心
ben-xing  本性
ben-xiong  笨熊
ben-xiu  本修
ben-xuan  本轩
ben-yi 本已  本意
ben-ying  本应
ben-yong  奔涌
ben-you  本有
ben-yuan  本源
ben-yue  本月
ben-zhan  本站
ben-zhang  贲张
ben-zhao  本着
ben-zhe  本着
ben-zhen 本真  本阵
ben-zhi  本质
ben-zhong  笨重
ben-zhou  本周
ben-zhuo 本着  笨拙
ben-zi  本子
ben-zong  本宗
ben-zong-bi-tian  本宗比天
ben-zong-cai  本宗才
ben-zong-hui  本宗会
ben-zong-kuai  本宗会
ben-zong-li  本宗里
ben-zong-lin  本宗林
ben-zong-neng  本宗能
ben-zong-nv  本宗女
ben-zong-tai-shang  本宗太上
ben-zong-wei  本宗为
ben-zong-you  本宗有
ben-zong-yu-chu  本宗欲除
ben-zong-zhi-wu  本宗之物
ben-zu  本族
ben-zu-hui  本族会
ben-zu-kuai  本族会
ben-zui-ben-she  笨嘴笨舌
ben-zui-zhuo-she  笨嘴拙舌
ben-zun  本尊
ben-zun-gan  本尊敢
ben-zun-hui  本尊会
ben-zun-jian-zhen  本尊剑阵
ben-zun-kuai  本尊会
ben-zun-na-ming  本尊拿命
ben-zun-neng  本尊能
ben-zun-pai  本尊派
ben-zun-xian  本尊现
ben-zun-yao  本尊要
ben-zuo  本座
beng 崩 绷  嘣
beng-beng-tiao-tiao  蹦蹦跳跳
beng-chu 迸出  蹦出
beng-chu-lai  蹦出来
beng-de  绷得
beng-diao  崩掉
beng-duan 崩断  绷断
beng-fa  迸发
beng-fa-chu  迸发出
beng-fei  崩飞
beng-guan  甭管
beng-huai  崩坏
beng-jian  迸溅
beng-jin  绷紧
beng-kui  崩溃
beng-lie 迸裂  崩裂
beng-pan  崩盘
beng-she  迸射
beng-shuo  甭说
beng-ta  崩塌
beng-tiao  蹦跳
beng-xiang  甭想
beng-yu  崩于
bi 避 敝 闭 婢 臂 碧 逼  比
bi-an 彼岸  狴犴
bi-bai 比拜 彼拜  必败
bi-bang  臂膀
bi-bao 鄙堡 比豹  比宝
bi-bei  必备
bi-ben  比本
bi-ben-men  比本门
bi-ben-zong-jiang  比本宗强
bi-bi  比闭
bi-bi-feng-tou  避避风头
bi-bi-jie-shi  比比皆是
bi-bi-xue  比碧雪
bi-bi-xue-huan  比碧雪环
bi-bing  弊病
bi-bing-jiao  比冰蛟
bi-bing-mo  比冰漠
bi-bo  碧波
bi-bo-dang-yang  碧波荡漾
bi-bo-wan-qing  碧波万顷
bi-bu-ke-shao  必不可少
bi-bu-ren  比不认
bi-bu-shang  比不上
bi-can  碧蚕
bi-chang 比长  比常
bi-chong 臂重  比重
bi-chong-jiu-qing  避重就轻
bi-chu 逼出 敝处 弊处  比初
bi-chu-lai  逼出来
bi-chu-qu  逼出去
bi-chu-wu-dai  比储物袋
bi-ci 比此  彼此
bi-ci-bi-ci  彼此彼此
bi-ci-jian  彼此间
bi-ci-zhi-jian  彼此之间
bi-da  比大
bi-da-neng  比大能
bi-da-yu-li  弊大于利
bi-dang  比当
bi-dao  逼到
bi-de 避得 必得 闭得  逼得
bi-de-gou  逼得够
bi-de-guo  比得过
bi-de-shang  比得上
bi-deng  比登
bi-di  毙敌
bi-di-ji-san  比地玑散
bi-dian  鄙店
bi-die  必跌
bi-ding 比顶  必定
bi-ding-hui  必定会
bi-ding-kuai  必定会
bi-dou  比斗
bi-dou-zhong  比斗中
bi-du 逼毒 碧毒  避毒
bi-duan 比断 彼端 鼻端  弊端
bi-dun  比遁
bi-duo  比多
bi-duo-bao-jiang  比多宝强
bi-duo-bi  比多臂
bi-duo-she  比夺舍
bi-duo-yuan  避多远
bi-er-bu-jian  避而不见
bi-er-bu-tan  避而不谈
bi-er-yuan-zhi  避而远之
bi-fan  比凡
bi-fang 必放 必方  比方
bi-fang-chang  必方长
bi-fang-shu  必方属
bi-fang-shuo  比方说
bi-fang-ze  必方则
bi-fang-zhang  必方长
bi-fei-zhen  比飞针
bi-fen  比分
bi-feng  避风
bi-feng-gang  避风港
bi-feng-long  比风龙
bi-feng-ren  比风刃
bi-feng-tou  避风头
bi-fu 比富 比付  必附
bi-gang  比刚
bi-gang-ru  比刚入
bi-gao  比高
bi-ge  鄙阁
bi-ge-guan  闭个关
bi-gei  必给
bi-gong-bi-jing  毕恭毕敬
bi-gu 比谷 鄙谷  比古
bi-gu-bao  比古宝
bi-gua  必挂
bi-guan  闭关
bi-guang  碧光
bi-guang-ji  碧光激
bi-gui-dao  比鬼道
bi-gui-shou  比鬼兽
bi-guo 比过  避过
bi-guo-qu  逼过去
bi-hai  碧海
bi-hao  比好
bi-he 必喝  闭合
bi-hen  必恨
bi-hong-ling  比红绫
bi-hu 壁虎  庇护
bi-hu-suo  庇护所
bi-hua 笔画 比划  壁画
bi-huan 闭环  碧幻
bi-hui 鄙会 比慧 逼回 笔会 必会  避讳
bi-hui-tong  比慧通
bi-huo 避火 碧火 彼伙  避祸
bi-ji 比极 必给 笔记  逼急
bi-ji-ben  笔记本
bi-jian 逼奸 比见 鼻尖 必践 笔尖  比肩
bi-jian-ren  比剑刃
bi-jiang 毕将  必将
bi-jiao  比较
bi-jiao-fu-za  比较复杂
bi-jiao-jian-dan  比较简单
bi-jiao-luo-hou  比较落后
bi-jiao-mang  比较忙
bi-jiao-qing-chu  比较清楚
bi-jiao-shun-li  比较顺利
bi-jiao-yan-chong  比较严重
bi-jiao-yan-zhong  比较严重
bi-jie 比结  必结
bi-jie-yun  比劫云
bi-jin  逼近
bi-jin-duan  必筋断
bi-jin-yi  比金义
bi-jing 比晶 毕竞  毕竟
bi-jing-tie  比精铁
bi-jing-zhi-di  必经之地
bi-jing-zhi-lu  必经之路
bi-jiu 比酒 必救  比九
bi-kai 逼开  避开
bi-kong 鼻孔  碧空
bi-kong-chao-tian  鼻孔朝天
bi-kong-ru-xi  碧空如洗
bi-kong-xuan  比空眩
bi-kong-zhao-tian  鼻孔朝天
bi-kou  闭口
bi-kou-bu-yan  闭口不言
bi-ku 闭苦  比哭
bi-kuai 鄙会 比快 笔会  必会
bi-kui  比奎
bi-kun  比困
bi-kuo-kou  鼻阔口
bi-lai 比来  笔来
bi-lan  碧蓝
bi-lei-xing  比雷姓
bi-lei-yun  比雷云
bi-li 鼻里  比例
bi-liang  鼻梁
bi-liang-gu  鼻梁骨
bi-lin 比邻 逼林  比林
bi-lin-er-ju  比邻而居
bi-lin-zhen 碧鳞阵  碧鳞针
bi-ling  比灵
bi-ling-mai  比灵脉
bi-ling-yu  比灵域
bi-long 痹龙 弊龙  鼻龙
bi-long-jie  鼻龙界
bi-long-xing  比龙姓
bi-lu 笔录  毕露
bi-luo-zi  比罗紫
bi-lv 比率  碧绿
bi-lv-huang  比绿煌
bi-lv-se  碧绿色
bi-mai  比卖
bi-man  必满
bi-mang  碧芒
bi-men 鄙门  闭门
bi-men-bu-chu  闭门不出
bi-men-xie-ke  闭门谢客
bi-men-zao-che  闭门造车
bi-meng-ru  比梦如
bi-mian  避免
bi-mian-chu-xian  避免出现
bi-miao  比妙
bi-mie  必灭
bi-ming  毙命
bi-mo 比墨  笔墨
bi-mo-dao  比魔道
bi-mo-yuan  比魔缘
bi-mo-zhi-yan  笔墨纸砚
bi-mu 比木 壁幕 闭幕  闭目
bi-mu-yang-shen  闭目养神
bi-nai  比鼐
bi-nai-long  比鼐龙
bi-neng  必能
bi-ni  比拟
bi-nie  比孽
bi-ning  比宁
bi-ning-dan  比凝丹
bi-ning-dan-qi  比凝丹期
bi-niu  比牛
bi-nv 比女  婢女
bi-pai  鄙派
bi-pang  臂膀
bi-piao-yun  比飘云
bi-piao-yun-gu  比飘云谷
bi-pin  比拼
bi-po  逼迫
bi-qi 毕其 闭起 比其 避其 比起  贲起
bi-qi-gong-yu-yi-yi  毕其功于一役
bi-qian  比前
bi-qing-lian-zhong  鼻青脸肿
bi-qiong-ji  比穷奇
bi-qiong-qi  比穷奇
bi-ran  必然
bi-ran-lian-xi  必然联系
bi-ran-xuan-ze  必然选择
bi-rang 必让  避让
bi-ren 鄙人 比人  逼人
bi-ren-jiang  比人强
bi-ren-jie 比人阶 比人界  彼人界
bi-ren-man  比人慢
bi-ren-zu  比人族
bi-ri  蔽日
bi-ru 必入 避如 逼入  比如
bi-ru-pao  比儒袍
bi-ru-shuo  比如说
bi-ruo  比若
bi-sai  闭塞
bi-san  比三
bi-san-da  比三大
bi-sao  必扫
bi-se 碧色  闭塞
bi-sha  必杀
bi-sha-ji  必杀技
bi-shan 鄙山  比山
bi-shang 逼上 壁上 比上  闭上
bi-shang-guan  壁上观
bi-shang-yan  闭上眼
bi-shang-yan-jing  闭上眼睛
bi-shang-zui  闭上嘴
bi-she  碧蛇
bi-she-chu  必射出
bi-shen  裨身
bi-sheng 必胜  毕生
bi-sheng-jing-li  毕生精力
bi-shi 鄙市 比是 比师 比尸 必是 避世 鄙视 必食 逼视  比试
bi-shi-jiu-xu  避实就虚
bi-shou 比兽 必受  匕首
bi-shou-qi-luan  必受其乱
bi-shu  必输
bi-shu-wu-yi  必输无疑
bi-shuai  比率
bi-shui  避水
bi-shuo  比说
bi-si 比死  必死
bi-si-wu-yi  必死无疑
bi-si-zhi-xin  必死之心
bi-song-feng  比松风
bi-su  比苏
bi-suo  比缩
bi-tai-xuan-men  比太玄门
bi-ti  蔽体
bi-tian  比天
bi-tian-cai  比天材
bi-tian-chen  比天尘
bi-tian-fei  比天肥
bi-tian-xiao-jian  比田小剑
bi-tian-yun  比天云
bi-ting-lou  比亭楼
bi-tong  比同
bi-tong-jie  比同阶
bi-tong-ling  比通灵
bi-tou 鼻头  比头
bi-tui  逼退
bi-wan  臂弯
bi-wan-fo-zong  比万佛宗
bi-wan-fu-zong  比万佛宗
bi-wan-hun  比万魂
bi-wan-jiao  比万蛟
bi-wan-shou  比万兽
bi-wang  比望
bi-wei-jia  比未加
bi-wen  逼问
bi-wo-jiang  比我强
bi-wu  比武
bi-xi 必喜  鼻息
bi-xia 比下 陛下  笔下
bi-xian 避险 比现 避嫌  毕现
bi-xian-yun-zong  比仙云宗
bi-xiao  比小
bi-xiao-bi  比小婢
bi-xiao-luo-tian  比小罗天
bi-xie  避邪
bi-xin  比心
bi-xing 比姓  比性
bi-xiu  比修
bi-xiu-ke  必修课
bi-xu 必需  必须
bi-xuan-feng-men  比玄凤门
bi-xuan-tian  比玄天
bi-xue 碧血 碧雪  比血
bi-xue-hu  彼雪狐
bi-xue-huan  碧雪环
bi-yan 碧炎 碧眼 笔砚 闭眼 陛眼  碧焰
bi-yao 避要  必要
bi-yao-tiao-jian  必要条件
bi-ye-ping-er  比叶瓶儿
bi-ye-tian  比叶天
bi-yi 必已 必异 裨益 比以 碧蛇 比一 必以  鄙夷
